id,issue_id,author_id,author_name,field_id,field_name,from_value,to_value,created_date,original_from_value,original_to_value,_raw_data_params,_raw_data_table,_raw_data_id,_raw_data_remark
tapd:TapdStoryChangelog:1:1139091999001018979:iteration_id,tapd:TapdStory:1:1139091999001017219,tapd:TapdAccount:1:李辉,李辉,iteration_id,Sprint,,,2023-03-21T07:38:41.000+00:00,,,"{""ConnectionId"":1,""WorkspaceId"":991}",_raw_tapd_api_story_changelogs,57,
tapd:TapdStoryChangelog:1:1139091999001018979:tapd_request_id,tapd:TapdStory:1:1139091999001017219,tapd:TapdAccount:1:李辉,李辉,tapd_request_id,tapd_request_id,,,2023-03-21T07:38:41.000+00:00,,f0e9650850066f03b97fe765ecef230c,"{""ConnectionId"":1,""WorkspaceId"":991}",_raw_tapd_api_story_changelogs,57,
tapd:TapdStoryChangelog:1:1139091999001018994:iteration_id,tapd:TapdStory:1:1139091999001017220,tapd:TapdAccount:1:李辉,李辉,iteration_id,Sprint,,,2023-03-21T08:36:34.000+00:00,,,"{""ConnectionId"":1,""WorkspaceId"":991}",_raw_tapd_api_story_changelogs,72,
tapd:TapdStoryChangelog:1:1139091999001018994:tapd_request_id,tapd:TapdStory:1:1139091999001017220,tapd:TapdAccount:1:李辉,李辉,tapd_request_id,tapd_request_id,,,2023-03-21T08:36:34.000+00:00,,c8d18efecc50d8a7587480f1af8461ed,"{""ConnectionId"":1,""WorkspaceId"":991}",_raw_tapd_api_story_changelogs,72,
tapd:TapdStoryChangelog:1:1139091999001018996:iteration_id,tapd:TapdStory:1:1139091999001017218,tapd:TapdAccount:1:李辉,李辉,iteration_id,Sprint,,,2023-03-21T09:35:05.000+00:00,,,"{""ConnectionId"":1,""WorkspaceId"":991}",_raw_tapd_api_story_changelogs,73,
tapd:TapdStoryChangelog:1:1139091999001018996:tapd_request_id,tapd:TapdStory:1:1139091999001017218,tapd:TapdAccount:1:李辉,李辉,tapd_request_id,tapd_request_id,,,2023-03-21T09:35:05.000+00:00,,e8fd37b67885fb1e17f778ae99ff0078,"{""ConnectionId"":1,""WorkspaceId"":991}",_raw_tapd_api_story_changelogs,73,
tapd:TapdStoryChangelog:1:1139091999001019022:iteration_id,tapd:TapdStory:1:1139091999001017228,tapd:TapdAccount:1:李辉,李辉,iteration_id,Sprint,,,2023-03-22T08:03:57.000+00:00,,,"{""ConnectionId"":1,""WorkspaceId"":991}",_raw_tapd_api_story_changelogs,88,
tapd:TapdStoryChangelog:1:1139091999001019022:tapd_request_id,tapd:TapdStory:1:1139091999001017228,tapd:TapdAccount:1:李辉,李辉,tapd_request_id,tapd_request_id,,,2023-03-22T08:03:57.000+00:00,,0a2cec9741328f77ca5aff4bbea8af7f,"{""ConnectionId"":1,""WorkspaceId"":991}",_raw_tapd_api_story_changelogs,88,
tapd:TapdStoryChangelog:1:1139091999001019023:iteration_id,tapd:TapdStory:1:1139091999001017227,tapd:TapdAccount:1:李辉,李辉,iteration_id,Sprint,,,2023-03-22T08:03:57.000+00:00,,,"{""ConnectionId"":1,""WorkspaceId"":991}",_raw_tapd_api_story_changelogs,89,
tapd:TapdStoryChangelog:1:1139091999001019023:tapd_request_id,tapd:TapdStory:1:1139091999001017227,tapd:TapdAccount:1:李辉,李辉,tapd_request_id,tapd_request_id,,,2023-03-22T08:03:57.000+00:00,,0a2cec9741328f77ca5aff4bbea8af7f,"{""ConnectionId"":1,""WorkspaceId"":991}",_raw_tapd_api_story_changelogs,89,
tapd:TapdStoryChangelog:1:1139091999001019024:iteration_id,tapd:TapdStory:1:1139091999001017226,tapd:TapdAccount:1:李辉,李辉,iteration_id,Sprint,,,2023-03-22T08:03:57.000+00:00,,,"{""ConnectionId"":1,""WorkspaceId"":991}",_raw_tapd_api_story_changelogs,90,
tapd:TapdStoryChangelog:1:1139091999001019024:tapd_request_id,tapd:TapdStory:1:1139091999001017226,tapd:TapdAccount:1:李辉,李辉,tapd_request_id,tapd_request_id,,,2023-03-22T08:03:57.000+00:00,,0a2cec9741328f77ca5aff4bbea8af7f,"{""ConnectionId"":1,""WorkspaceId"":991}",_raw_tapd_api_story_changelogs,90,
tapd:TapdStoryChangelog:1:1139091999001019025:iteration_id,tapd:TapdStory:1:1139091999001017225,tapd:TapdAccount:1:李辉,李辉,iteration_id,Sprint,,,2023-03-22T08:03:57.000+00:00,,,"{""ConnectionId"":1,""WorkspaceId"":991}",_raw_tapd_api_story_changelogs,91,
tapd:TapdStoryChangelog:1:1139091999001019025:tapd_request_id,tapd:TapdStory:1:1139091999001017225,tapd:TapdAccount:1:李辉,李辉,tapd_request_id,tapd_request_id,,,2023-03-22T08:03:57.000+00:00,,0a2cec9741328f77ca5aff4bbea8af7f,"{""ConnectionId"":1,""WorkspaceId"":991}",_raw_tapd_api_story_changelogs,91,
tapd:TapdStoryChangelog:1:1139091999001019026:iteration_id,tapd:TapdStory:1:1139091999001017224,tapd:TapdAccount:1:李辉,李辉,iteration_id,Sprint,,,2023-03-22T08:03:57.000+00:00,,,"{""ConnectionId"":1,""WorkspaceId"":991}",_raw_tapd_api_story_changelogs,92,
tapd:TapdStoryChangelog:1:1139091999001019026:tapd_request_id,tapd:TapdStory:1:1139091999001017224,tapd:TapdAccount:1:李辉,李辉,tapd_request_id,tapd_request_id,,,2023-03-22T08:03:57.000+00:00,,0a2cec9741328f77ca5aff4bbea8af7f,"{""ConnectionId"":1,""WorkspaceId"":991}",_raw_tapd_api_story_changelogs,92,
tapd:TapdStoryChangelog:1:1139091999001019055:iteration_id,tapd:TapdStory:1:1139091999001017207,tapd:TapdAccount:1:李辉,李辉,iteration_id,Sprint,,,2023-03-22T09:39:19.000+00:00,,,"{""ConnectionId"":1,""WorkspaceId"":991}",_raw_tapd_api_story_changelogs,120,
tapd:TapdStoryChangelog:1:1139091999001019055:tapd_request_id,tapd:TapdStory:1:1139091999001017207,tapd:TapdAccount:1:李辉,李辉,tapd_request_id,tapd_request_id,,,2023-03-22T09:39:19.000+00:00,,042f0e261d7c79dc7c4bfb7f42d33ec0,"{""ConnectionId"":1,""WorkspaceId"":991}",_raw_tapd_api_story_changelogs,120,
tapd:TapdStoryChangelog:1:1139091999001019058:iteration_id,tapd:TapdStory:1:1139091999001017197,tapd:TapdAccount:1:李辉,李辉,iteration_id,Sprint,,,2023-03-22T09:39:19.000+00:00,,,"{""ConnectionId"":1,""WorkspaceId"":991}",_raw_tapd_api_story_changelogs,123,
tapd:TapdStoryChangelog:1:1139091999001019058:tapd_request_id,tapd:TapdStory:1:1139091999001017197,tapd:TapdAccount:1:李辉,李辉,tapd_request_id,tapd_request_id,,,2023-03-22T09:39:19.000+00:00,,042f0e261d7c79dc7c4bfb7f42d33ec0,"{""ConnectionId"":1,""WorkspaceId"":991}",_raw_tapd_api_story_changelogs,123,
tapd:TapdStoryChangelog:1:11991001000093:owner,tapd:TapdStory:1:11991001000033,tapd:TapdAccount:1:test-11test-11test-11,test-11test-11test-11,owner,assignee,,,2019-12-12T10:01:42.000+00:00,,tapd:TapdAccount:1:u5d14u6600,"{""ConnectionId"":1,""WorkspaceId"":991}",_raw_tapd_api_story_changelogs,2,
tapd:TapdStoryChangelog:1:11991001000095:comment,tapd:TapdStory:1:11991001000033,tapd:TapdAccount:1:test-11test-11test-11,test-11test-11test-11,comment,comment,,,2019-12-12T10:12:07.000+00:00,,test-11test-11test-11test-11,"{""ConnectionId"":1,""WorkspaceId"":991}",_raw_tapd_api_story_changelogs,3,
